Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Justen Glad,RSL,CB,1229,1.03,MLS,0.07542717656631408
Felipe Carballo,NYRB,DM,875,1.02,MLS,0.10491428571428572
Steven Moreira,CLB,CB,1001,1.02,MLS,0.09170829170829171
Tristan Blackmon,VAN,CB,1121,1.01,MLS,0.08108831400535237
Jackson Ragen,SEA,CB,683,1.01,MLS,0.13308931185944364
Joaquín Pereyra,MIN,CM,1098,1.01,MLS,0.08278688524590164
Danny Musovski,SEA,ST,686,0.99,MLS,0.12988338192419824
Sean Zawadzki,CLB,CB,1308,0.98,MLS,0.06743119266055045
Hany Mukhtar,NSH,ST,1359,0.96,MLS,0.06357615894039735
Christian Ramírez,LAG,ST,823,0.96,MLS,0.10498177399756987
Rafael Navarro,COL,ST,1165,0.94,MLS,0.07261802575107296
Tai Baribo,PHI,ST,991,0.93,MLS,0.084460141271443
Josef Martínez,SJE,ST,759,0.93,MLS,0.11027667984189725
Anthony Markanich,MIN,FB,653,0.93,MLS,0.12817764165390505
Federico Bernardeschi,TOR,W,1346,0.93,MLS,0.062184249628528976
Beau Leroux,SJE,CM,1075,0.92,MLS,0.07702325581395349
J.C. Ngando,VAN,CM,760,0.92,MLS,0.10894736842105264
Pedro Vite,VAN,CM,941,0.91,MLS,0.08703506907545165
Dylan Chambost,CLB,CM,1383,0.89,MLS,0.0579175704989154
Preston Judd,SJE,ST,389,0.88,MLS,0.20359897172236505
Aaron Long,LAFC,CB,1039,0.88,MLS,0.07622714148219441
Kyle Hiebert,STL,CB,1341,0.88,MLS,0.05906040268456376
David Brekalo,ORL,CB,953,0.86,MLS,0.08121720881427072
Idan Toklomati,CLT,ST,390,0.86,MLS,0.19846153846153844
Andy Najar,NSH,FB,1086,0.86,MLS,0.0712707182320442
Amahl Pellegrino,SJE,W,420,0.85,MLS,0.18214285714285713
Souleyman Doumbia,CLT,FB,341,0.83,MLS,0.2190615835777126
Eddie Segura,LAFC,CB,965,0.82,MLS,0.07647668393782382
Giacomo Vrioni,MTL,ST,248,0.82,MLS,0.2975806451612903
Carles Gil,NER,AM,1205,0.82,MLS,0.06124481327800829
Maya Yoshida,LAG,CB,1019,0.82,MLS,0.07242394504416093
Gabriel Pec,LAG,W,1086,0.81,MLS,0.06712707182320443
Dennis Gjengaar,NYRB,W,415,0.81,MLS,0.17566265060240965
Jayden Nelson,VAN,W,525,0.81,MLS,0.13885714285714287
Osaze Urhoghide,FCD,CB,1307,0.81,MLS,0.05577658760520275
Pep Biel,CLT,AM,1081,0.79,MLS,0.06577243293246994
David Schnegg,DCU,FB,1374,0.75,MLS,0.04912663755458515
Thiago Martins,NYC,CB,1211,0.75,MLS,0.055739058629232036
Nicolás Romero,MIN,CB,877,0.74,MLS,0.07594070695553021
David Ayala,POR,DM,1100,0.71,MLS,0.05809090909090909
Ali Ahmed,VAN,W,744,0.7,MLS,0.0846774193548387
Alexander Hack,NYRB,CB,565,0.69,MLS,0.10991150442477875
Ousseni Bouda,SJE,AM,675,0.69,MLS,0.09199999999999998
Cristian Arango,SJE,ST,1209,0.69,MLS,0.051364764267990075
Miles Robinson,CIN,CB,1103,0.69,MLS,0.05630099728014505
Tanner Beason,NER,CB,638,0.67,MLS,0.0945141065830721
Kai Wagner,PHI,FB,1205,0.66,MLS,0.04929460580912863
Jonathan Bamba,CHI,W,1132,0.66,MLS,0.05247349823321555
Kerwin Vargas,CLT,W,556,0.66,MLS,0.10683453237410073
Marco Pasalic,ORL,W,1164,0.64,MLS,0.04948453608247423
Pedro Amador,ATL,FB,746,0.64,MLS,0.0772117962466488
Nouhou,SEA,CB,1169,0.64,MLS,0.04927288280581694
Aníbal Godoy,SD,CM,1038,0.63,MLS,0.0546242774566474
Julián Fernández,NYC,W,793,0.63,MLS,0.07150063051702396
Bongokuhle Hlongwane,MIN,FB,1216,0.62,MLS,0.04588815789473684
Santiago Moreno,POR,W,1043,0.62,MLS,0.05349952061361458
Luca Orellano,CIN,W,943,0.62,MLS,0.0591728525980912
Mark Delgado,LAFC,CM,998,0.61,MLS,0.05501002004008016
Simon Becher,STL,ST,622,0.6,MLS,0.08681672025723472
Noah Allen,MIA,CB,1052,0.59,MLS,0.05047528517110266
Omir Fernández,"POR, COL",W,323,0.59,MLS,0.16439628482972135
Cristian Roldan,SEA,CM,1221,0.59,MLS,0.043488943488943485
Javain Brown,RSL,FB,210,0.58,MLS,0.24857142857142855
Martín Ojeda,ORL,AM,1152,0.58,MLS,0.0453125
David Martínez,LAFC,W,743,0.58,MLS,0.0702557200538358
Guilherme Biro,ATX,FB,1286,0.57,MLS,0.039891135303265934
Mark-Anthony Kaye,SJE,CM,497,0.56,MLS,0.10140845070422536
Michael Boxall,MIN,CB,1095,0.55,MLS,0.045205479452054796
Jonathan Rodríguez,POR,W,190,0.54,MLS,0.25578947368421057
Niko Tsakiris,SJE,CM,272,0.54,MLS,0.17867647058823533
Tayvon Gray,NYC,FB,434,0.54,MLS,0.1119815668202765
Tomas Totland,STL,FB,363,0.53,MLS,0.13140495867768595
Iván Angulo,ORL,W,1140,0.53,MLS,0.041842105263157896
Rodrigues,SJE,CB,930,0.53,MLS,0.05129032258064516
Jesús Barea,RSL,ST,275,0.53,MLS,0.17345454545454547
Brandon Bye,NER,FB,368,0.51,MLS,0.12472826086956523
Alex Mighten,SD,W,480,0.5,MLS,0.09375
Emmanuel Sabbi,VAN,W,513,0.5,MLS,0.08771929824561403
Lukas Engel,CIN,FB,1231,0.5,MLS,0.036555645816409424
Tristan Muyumba,ATL,DM,591,0.49,MLS,0.07461928934010152
George Campbell,MTL,CB,894,0.49,MLS,0.049328859060402686
Joran Gerbet,ORL,DM,721,0.48,MLS,0.05991678224687933
Manu García,SKC,CM,1325,0.48,MLS,0.03260377358490566
Nolan Norris,FCD,FB,593,0.47,MLS,0.07133220910623946
Liel Abada,CLT,W,942,0.47,MLS,0.04490445859872611
Jack McGlynn,HOU,W,1269,0.47,MLS,0.03333333333333333
