Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Detroit City FC,540855,Houston Dynamo FC,8259,1107.038882091027
Detroit City FC,540855,Indy Eleven,514649,241.8522236318689
Detroit City FC,540855,Las Vegas Lights FC,915809,1762.7281735608035
Detroit City FC,540855,Los Angeles FC,867280,1989.1873543844154
Detroit City FC,540855,Louisville City FC,614316,314.8208739449964
Detroit City FC,540855,Miami FC,721896,1154.077260297622
Detroit City FC,540855,Minnesota United FC,207242,548.0375922616422
Detroit City FC,540855,Monterey Bay FC,915808,2091.395601072648
Detroit City FC,540855,Nashville SC,915807,490.6536466336404
Detroit City FC,540855,New Mexico United,1003208,1364.080554607709
Detroit City FC,540855,Orange County SC,267813,1976.306876895032
